judet	an	servicii_publice_generale	aparare	invatamant	sanatate	cultura	asigurari_sociale	dezvoltare_locuinte_mediu	mediu	energie	transporturi	altele
	2014	255604741	16405328	471947516	30199836	105735858	227316335	159935952	88878977	38513249	408398759	32920662
Constanţa	2007	128472772.98	10480715.13	285239729.04	5280092.49	96871519.74	147714924.82	172306651.36		116707401.14	101811877.51	70692858.52
	2008	187974038	18315551	338752194	13710824	130423508	179912994	268991435	0	99854992	117889450	8280198
	2009	201106481	20775781	354221031	19396872	126820687	190893784	276643496	0	109441622	116147277	9942088
	2010	160854720	14757983	307438676	27999952	97763652	181956259	285213086	0	105959928	160935074	13540119
	2011	158777991	21545782	287508484	38886645	104724688	162055889	350859065	122793428	132071806	229739051	16241625
	2012	152429703	27497779	303999900	66059112	131711247	174924351	429275848	121058556	55525623	190515731	27185846
	2013	192194288	86630894	338921465	40076805	127317129	183442129	349161158	104000517	53074667	180092093	19300424
	2014	208102766	29346317	420870446	54895608	132662211	199670835	414124019	123408049	94332051	183489825	15372288
Covasna	2007	40996224	2380993	127412850	164000	27163740	48873655	25693315		261791	28477169	1198277
	2008	57947414	4418012	146451897	267735	36868637	55044771	49598345	0	245384	35664747	1959467
	2009	56122723	5302310	148449257	843296	39049457	55086593	52476694	0	482813	35969587	3824163
	2010	47375134	4503818	131236790	9091325	37253890	58903622	52438986	0	37853	36410461	6730947
	2011	49340885	4589117	122901794	6203265	38929709	49574774	33420548	30334877	52423	79806682	9164521
	2012	53321547	4720528	132559673	6892097	43707373	50209015	25221766	22254779	63960	73036083	6786470
	2013	54643470	4987340	157661445	3188188	44196057	52086519	30846401	33524276	148730	56834533	9110897
	2014	63398857	4878576	169817863	5720490	41987041	55468495	48050982	41320988	263962	72325200	10237786
Dâmboviţa	2007	95381598	6474408	231687684	4388907	32242989	141512841	62457562		18726577	72104992	2053512
	2008	126586508	10639860	274856516	2785258	44536874	163540189	76086991	0	12972949	82503870	3097951
	2009	130112522	11395127	279569299	7435096	56701547	154025599	104563091	0	13600922	91130974	2854956
	2010	117775288	10219766	246179062	9607445	52216388	161289783	104182805	0	14554000	94479728	7760426
	2011	128428213	7252371	240577898	22349806	54800200	125973238	84558600	53038357	6827267	194334206	7012903
	2012	140059103	7992979	251656197	11959029	58721266	132300860	77646359	48931023	12744400	161473405	6837093
	2013	135056863	8541840	293226767	40087322	53635867	143957145	77350922	76270642	8129729	142458008	5756949
	2014	143700034	9794288	325636181	18375678	59213815	157911672	150983251	56684791	2880415	181146505	12180916
Dolj	2007	124143701	14812675	326050540	7835790	49702491	160103515	80740328		61022587	93551976	3549636
	2008	179482312	20562095	392898055	9643357	67020117	181760849	121925053	0	39439876	143847223	1816701
	2009	211537744	21091359	390661426	9319424	80303404	174061776	128371660	0	28252904	131426399	3168541
	2010	148849328	20813404	326665731	15421428	86693424	183757241	122330903	0	23623282	212515975	9787465
	2011	147911807	13131969	278936215	18486954	100041183	127405366	98998555	55549856	52694848	188477057	10862379
	2012	146979102	14199667	305266652	30098110	92505844	135375414	92858490	122744617	17103143	311379236	12625353
	2013	165601867	16218086	354488624	47848955	97354011	147621952	93701888	44260293	20116673	206383039	29410088
	2014	184235509	19186608	423408082	35345442	119528340	150312774	127722303	55278404	12821779	229416452	18235629
Galaţi	2007	88131867	13555822	258991096	6983933	46392708	134172914	94577355		87229410	84213619	4951720
	2008	109741002	23177695	321423700	10621611	66405655	158296300	117004584	0	67761517	117517812	6180172
	2009	117133682	26745892	324606412	10285558	70553880	144235744	134939145	0	54469592	91412189	8828119
	2010	92286239	19045583	278226944	19751345	55013381	157916458	95781166	0	61876744	137132502	2374237
	2011	85583030	13957693	252242641	41435025	70461647	123603681	71458738	61303977	51023401	164714580	4640420
	2012	97753944	17891889	272200656	24542679	84179359	130804178	67997201	122202963	36962391	178237575	5847373
	2013	106917787	17970067	303770634	26981111	99087381	162773985	80270671	52938778	42397698	169217002	4898450
	2014	114489702	20601419	369022479	33392473	86332785	139514293	82437493	63144417	35722196	173245195	3654999
Giurgiu	2007	56831645	2488647	101148882	521649	17929180	77788292	47135453		31556744	31216571	2912212
	2008	73874794	3120575	130244609	1385202	33271294	85237912	65100439	0	21322089	100069515	3873448
	2009	67818846	2134235	117454557	1789223	21165855	74344635	56118086	0	10748427	37411502	5863255
	2010	60805956	2531651	113343276	2688311	18093856	89654064	53011296	0	6163930	42633706	7889892
	2011	62869103	2893102	97371596	6537162	22808515	70318171	64679721	37805950	27191164	89003674	20045399
	2012	65162416	3807533	99423655	7812774	18306206	74960045	57628740	50558180	5126824	104175119	9456888
	2013	73986843	5013074	112186713	3842673	19652615	82994022	47538637	8434781	6543350	87559496	30746370
	2014	77259814	6391851	138787003	5287635	23079720	87039610	77695035	13229673	9297520	98963135	7751131
Gorj	2007	86023926	4019784	183405051	2786893	25671323	97693126	53865584		6589837	75432764	648307
	2008	123846281	6303283	233076015	5536242	35194716	121161757	77780880	0	3816671	104566907	1586401
	2009	117296122	6556205	234649418	5283165	38868377	117897634	80867524	0	1491705	111472718	872944
	2010	100412065	5663215	198262931	8676329	37192167	119911780	87504825	0	8414079	107663416	1065281
	2011	93798490	5608886	178624228	13999829	40889737	107238760	78817663	32520820	8918286	142321533	934892
	2012	104068665	5557597	206722517	10162377	43872368	104914426	71254680	27083889	1962749	139489439	1328118
	2013	108761015	6780323	229910979	6865437	43035133	111951695	70375369	24906823	3482956	135757672	1395497
	2014	121168723	6442283	293663971	9139002	41635885	111583266	76818356	28318201	5118792	146213422	2047982
Harghita	2007	56960511	1648228	194222942	1466700	29489397	70574240	54122193		28319446	58734772	1395884
	2008	84107386	3014321	223365543	1449850	40221303	77124484	82136827	0	28908369	48632845	3203383
	2009	81416555	3230015	238512764	2010375	41785722	73246878	70579465	0	16353082	57209020	20452146
	2010	74647230	3043373	205363002	10321190	41743162	80953547	52834780	0	17570996	71704765	29392623
	2011	74612628	3519880	199083118	17899532	51396952	68517137	54118370	27978038	23746362	103868186	41819812
	2012	84736687	5277547	206345248	16451080	60656230	75495858	47455304	22193539	15854820	96442351	15183383
	2013	91424837	5490292	222439734	6997743	56724904	79731820	49082442	24094781	21734109	114520617	26886125
	2014	89706600	5944283	266827951	9142772	60679929	77711419	43726091	31157880	17922535	159109431	18641174
Hunedoara	2007	131238762	10494435	232997363	3845924	40404066	102679916	96461550		29878863	72801165	5936946
	2008	140675131	13354219	269162897	4682484	51787000	145331733	132278082	0	18829511	119956413	7093643
	2009	142047113	12710876	287746525	10357970	46206978	150628732	164787453	0	23098142	87637268	6126722
	2010	123232876	9448799	237749556	15947793	47996563	155958374	174153848	0	13779633	108343034	9164244
	2011	110896162	7949715	217819689	17991801	56517124	141401563	144591373	74603085	14279697	177049792	48471100
	2012	127516391	8305822	246094306	26860640	67129714	135351438	106595798	97439380	23411359	180430572	20311932
	2013	121688420	9382169	251489484	43752863	67202858	140607062	163609720	36539810	14216501	199135137	54060436
	2014	124521242	9889840	293198202	32261971	68013303	147237389	126607137	81646803	13591278	180951683	90886636
Ialomiţa	2007	49425847	3727821	125236006	1374706	12878503	72954710	40043802		702202	40099232	1201484
	2008	67094885	5643553	159823334	1671228	21324700	81922992	60677740	0	475448	66921035	1839717
	2009	69631805	6346116	149753716	2666771	19797400	78478788	60424737	0	307864	55321319	985091
	2010	58138451	5482550	126060167	35541419	19475131	83587166	65743619	0	207378	50824322	3112759
	2011	53858045	6239438	118658333	11861667	26026113	63397612	53687483	32389687	0	60918572	1567051
	2012	70854532	5281182	125343803	9769516	25744424	63623301	42844134	22753050	0	52347272	2932503
	2013	69643300	4377807	143983001	5570841	27447689	66891601	52120901	16862057	0	52114868	5703272
	2014	76268901	6077819	180563174	7670293	31450469	70559049	44727199	19398104	0	74821599	4598997
Iaşi	2007	121870931	12483425	398624072	5022097	52962657	216029566	90034315		100514233	126401607	4787806
	2008	163243661	18869547	484038774	7514999	84660068	252180639	112895967	0	47348381	155548796	14215220
	2009	173476532	18613493	478889847	7932038	75017201	248668960	139493377	0	74751330	125391489	8827446
	2010	143292864	14426680	402918131	16980852	65537062	273504217	165328745	0	56319238	158124015	14913445
	2011	137039721	11450018	387499169	16109463	75471047	222579169	102160995	136548105	64304653	212122664	14359573
	2012	149476944	12680816	407393391	25393359	93337332	225944921	116625960	39700999	63418082	294684888	23739478
	2013	158757252	15155711	465525123	14906363	90599647	237474956	98974009	31479145	65348702	290076114	59811763
	2014	181722682	16146482	569437815	36403894	110432598	251096887	122948846	96554429	98084420	415964063	39325467
Ilfov	2007	95450135	8228107	132205624	9214131	58602004	63214244	106231989		2496248	158353050	1659288
	2008	132868149	14743338	156178745	12188564	99169200	71459944	137523557	0	3575376	214098065	1759673
	2009	157325034	15373438	158907805	16404122	89789246	77915622	143996142	0	1230689	197955158	2732304
	2010	150322898	13867418	149489525	15070623	94935579	84116086	149935815	0	116367	285650014	11772837
	2011	195374827	13621564	160812096	20890386	112945472	74172303	89753995	78015319	3408930	251629906	9561827
